exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0005,0.05,3.3422538049298023,1.2226039080242572e-13,8.8861377239368e+33,8.886137723936799e+45,0.0,1028.1720320691772,5524,0.6220875970864617,Supported
exp1,0.0005,0.05,3.578598895421267,1.3096455692790459e-13,3.7382626607104606e+36,3.7382626607104605e+48,0.0,1076.2729071629149,5524,0.6972391449574661,Supported
exp1,0.0005,0.05,3.815739760628191,1.3964657805489017e-13,1.608341888062585e+39,1.608341888062585e+51,0.0,1128.8222896970517,5524,0.7797415085952922,Supported
exp1,0.0005,0.05,4.052880625835115,1.482860559696847e-13,6.929597249602061e+41,6.92959724960206e+53,0.0,1186.3646139360199,5524,0.8704189281313633,Supported
exp1,0.0005,0.05,4.28922571632658,1.5700276435553428e-13,2.9279285550126928e+44,2.927928555012693e+56,0.0,1249.6238222297807,5524,0.9702966390373443,Supported
exp1,0.0005,0.05,4.5263665815335035,1.658450526087051e-13,1.2629677123846252e+47,1.2629677123846252e+59,0.0,1320.2378691582423,5524,1.0818031445751033,Supported
exp1,0.0005,0.05,4.763507446740428,1.7459952338575038e-13,5.446988288818287e+49,5.446988288818286e+61,0.0,1399.5533437164904,5524,1.2068759549065837,Supported
exp1,0.0005,0.05,4.9998525372318925,1.8308916144557285e-13,2.3004853163417605e+52,2.3004853163417607e+64,0.0,1489.1400812332688,5524,1.347842290631402,Supported
exp1,0.001,0.01,0.49974652130855146,1.7511022725163516e-14,33055284.47992631,3.3055284479926313e+19,0.041998551774076756,517.3436267676261,5524,0.04483749886966965,Supported
exp1,0.001,0.01,0.7368873865154758,2.590430325809686e-14,4667372727998.011,4.667372727998011e+24,0.042903692976104274,536.065190027135,5524,0.06844168608700116,Supported
exp1,0.001,0.01,0.9740282517223996,3.4146905309228187e-14,7.43980003072e+17,7.43980003072e+29,0.00018102824040550325,556.2063916746882,5524,0.0980562391901463,Supported
exp1,0.001,0.01,1.210373342213864,4.2358523533364764e-14,1.2213466993774035e+23,1.2213466993774035e+35,0.0,577.7301815772257,5524,0.1265874747960625,Supported
exp1,0.001,0.01,1.4475142074207885,5.063549040696462e-14,2.180843998132063e+28,2.180843998132063e+40,0.0,600.8520119294851,5524,0.1574478319741663,Supported
exp1,0.001,0.01,1.683859297912253,5.930474475613021e-14,3.846868306905319e+33,3.846868306905319e+45,0.0,625.5613157162816,5524,0.19068740729237565,Supported
exp1,0.001,0.01,1.9210001631191769,6.770030474149285e-14,7.202141658283935e+38,7.202141658283935e+50,0.0,652.2758193872451,5524,0.2268323597830544,Supported
exp1,0.001,0.01,2.158141028326101,7.59076106757481e-14,1.3654179006679748e+44,1.3654179006679747e+56,0.0,681.3202831186084,5524,0.2661812556895409,Supported
exp1,0.001,0.01,2.3944861188175657,8.413299828297563e-14,2.5054827575326194e+49,2.5054827575326194e+61,0.0,713.2004538795464,5524,0.3091507217141494,Supported
exp1,0.001,0.01,2.6316269840244897,9.252067520555764e-14,4.813543586596754e+54,4.8135435865967544e+66,0.0,748.9763166013288,5524,0.35681142019611267,Supported
exp1,0.001,0.01,2.8687678492314137,1.0108783620499533e-13,9.275445654177272e+59,9.275445654177272e+71,0.0,789.5673847662217,5524,0.4100444475414674,Supported
exp1,0.001,0.01,3.1051129397228783,1.0956403618410641e-13,1.7182778180813482e+65,1.7182778180813482e+77,0.0,835.8839656668666,5524,0.46986135371090904,Supported
